id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0003,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0003,lrae_navwar_2023-06,"MIDS Foreign Military Sales (FMS) case and financial management, program management, and technical and logistics support services",Small Business Set-Aside,TBD,Delivery Order/Task Order,,,FY28,Q2,60,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row169
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0014,lrae_navwar_2023-06,"Provide Ships Signal Exploitation Space (SSES) Integration and Testing support onboard USS JOHN C. STENNIS (CVN 74) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I.",,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q3,FY24,Q1,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row171
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0001,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0001,lrae_navwar_2023-06,"Provide Radio Communications Suite (RCS) Turnkey Engineering, CTIF and Topside, Shipboard, Smart Start Work, AIT (SCD), Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I.",,Cost-Reimbursement,Delivery Order/Task Order,,,FY25,Q1,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row172
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0002,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0002,lrae_navwar_2023-06,"Provide Ships Signal Exploitation Space (SSES) Turnkey Engineering, CTIF and Topside, Shipboard, Smart Start Work, AIT (SCD), Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I.",,Cost-Reimbursement,Delivery Order/Task Order,,,FY25,Q1,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row173
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0003,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0003,lrae_navwar_2023-06,"Provide Distributed (DS) Shipboard, Smart Start Work, AIT (SCD), Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I.",,Cost-Reimbursement,Delivery Order/Task Order,,,FY25,Q1,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row174
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0015,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0015,lrae_navwar_2023-06,"Provide Removals and Zone Integrator/AIT, Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I.",,Cost-Reimbursement,Delivery Order/Task Order,,,FY24,Q3,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row175
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0020,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0020,lrae_navwar_2023-06,NSC2I TATS 8-13.,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q3,FY24,Q2,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row176
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0021,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0021,lrae_navwar_2023-06,"NSC2I LPD.  29 (PHASE5).
NEED BY DATE 27 OCT 23.",,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q4,FY24,Q2,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row177
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0029,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0029,lrae_navwar_2023-06,NSC2I FFG 62.,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q4,FY24,Q2,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row178
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0016,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0016,lrae_navwar_2023-06,"Provide C4ISR installation support services which consists of: Installation and Functional Testing of Class III Multifunction Copier Infrastructure and Class IV Multifunction Copier Infrastructure onboard USS JOHN C. STENNIS (CVN 74) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I.",,Cost-Reimbursement,TBD,,,FY24,Q1,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row179
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0016,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0016,lrae_navwar_2023-06,NSC2I EPF14-16.  EMS 1.,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q3,FY24,Q2,,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row180
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0031,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0031,lrae_navwar_2023-06,NSC2I FFG 63.,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q4,FY24,Q2,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row181
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0032,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0032,lrae_navwar_2023-06,NSC2I TAO 207-210.,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q4,FY24,Q2,,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row182
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0069,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0069,lrae_navwar_2023-06,SOLUTE SSCP PoP extension / ceiling increase out to the end of the current base contract PoP,Sole-Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,,,FY23,Q4,,541512 - Computer Systems Design Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row183
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0059,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0059,lrae_navwar_2023-06,Awarding a Sole Source SBIR Phase III contract - Base plus 3 option years.,Small Business Set-Aside,Cost-Reimbursement,"""C"" Type Contract",FY23,Q3,FY23,Q4,,"541710 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",AC12 - NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,"San Diego, CA",ev:lrae_navwar_2023-06:row184
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0033,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0033,lrae_navwar_2023-06,"The major objective of this task order is to obtain Systems Engineering and Technical Assistance (SETA) support services. SETA support includes analysis, evaluation and recommendations of software and hardware and data components as well as their interfaces to current and future C4I systems.",Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order,FY24,Q1,FY24,Q4,,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row187
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0010,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0010,lrae_navwar_2023-06,MIDS Engineering and Logistics Services,,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY23,Q4,FY24,Q3,60,541330 - Engineering Services,R408 - Program Management/Support Services,"San Diego, CA",ev:lrae_navwar_2023-06:row189
req:lrae_navwar_2023-06:N00039-26-RFPREQ-PMW/A-170-0001,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMW/A-170-0001,lrae_navwar_2023-06,Award follow-on contract to procure 100W/200W Ship/Shore/Sub power amplifiers.,,Fixed-Price,TBD,,,,,60,334290 - Other Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row191
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0133,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0133,lrae_navwar_2023-06,Protype Scalable MOSA Radio Cluster (SMRC),,Fixed-Price,OTA,FY23,Q4,FY24,Q1,60,334290 - Other Communications Equipment Manufacturing,"5825 - RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2023-06:row192
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0230,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0230,lrae_navwar_2023-06,Repair of DMR JEDI Lab and ACST Lab parts,,TBD,Single-Award Indefinite-Delivery,FY23,Q4,FY24,Q1,60,334290 - Other Communications Equipment Manufacturing,J059 - MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row193
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0185,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0185,lrae_navwar_2023-06,Upgrade the ASU Housing Assemblies associated with an OE-570G antenna system.,,TBD,Delivery Order/Task Order,FY23,Q4,FY23,Q4,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row194
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0163,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0163,lrae_navwar_2023-06,Repair of failed MSN 8200 Transceiver and 1000W Power Amplifier (PA) for DDG 127.,,Fixed-Price,Delivery Order/Task Order,FY23,Q2,FY23,Q4,60,334290 - Other Communications Equipment Manufacturing,J059 - MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row195
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0180,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0180,lrae_navwar_2023-06,Air Traffic Control (ATC) Phase 3,,TBD,Delivery Order/Task Order,FY23,Q4,FY24,Q1,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row196
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0181,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0181,lrae_navwar_2023-06,Groom of AEGIS equipment,,TBD,Delivery Order/Task Order,FY23,Q4,FY24,Q1,60,334290 - Other Communications Equipment Manufacturing,J059 - MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row197
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0182,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0182,lrae_navwar_2023-06,Repair of DMR parts,,TBD,Delivery Order/Task Order,FY23,Q4,FY24,Q1,60,334290 - Other Communications Equipment Manufacturing,J059 - MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row198
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0005,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0005,lrae_navwar_2023-06,Update DMR software for TTAM IW and 5kHz,,TBD,Delivery Order/Task Order,FY23,Q4,FY24,Q2,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row199
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0006,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0006,lrae_navwar_2023-06,Update DMR HMI/ITU,,TBD,Delivery Order/Task Order,FY24,Q1,FY24,Q2,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row200
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0007,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0007,lrae_navwar_2023-06,Update DMR PACU to meet MIL-STD-461,,TBD,Delivery Order/Task Order,FY24,Q1,FY24,Q3,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row201
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0008,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0008,lrae_navwar_2023-06,Groom/update/repair DOCCT/S GFP,,TBD,Delivery Order/Task Order,FY24,Q1,FY24,Q3,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row202
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0009,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0009,lrae_navwar_2023-06,Configurable Coherent Amplifier Switch (CCAS),,TBD,Delivery Order/Task Order,FY24,Q3,FY25,Q1,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row203
req:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0010,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0010,lrae_navwar_2023-06,Develop HFDAG HF Receiver Replacement,,TBD,Delivery Order/Task Order,FY24,Q3,FY24,Q4,60,334290 - Other Communications Equipment Manufacturing,"5820 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2023-06:row204
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0014,lrae_navwar_2023-06,Award Phase II of DMR MUOS WF 3.2 SW Development effort.,,Cost-Reimbursement,Delivery Order/Task Order,FY24,Q1,FY24,Q3,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row205
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0015,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0015,lrae_navwar_2023-06,Award DMR SATURN SW Development (Phase I) effort.,,Cost-Reimbursement,Delivery Order/Task Order,FY24,Q1,FY24,Q2,60,334290 - Other Communications Equipment Manufacturing,"K058 - MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row206
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0220,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0220,lrae_navwar_2023-06,Production of 500W Power Amplifiers for Subs,,TBD,TBD,FY23,Q4,FY24,Q1,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5996 - AMPLIFIERS,"San Diego, CA",ev:lrae_navwar_2023-06:row207
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0001,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0001,lrae_navwar_2023-06,"Procurement of ADNS systems, equipment, and spares",,Fixed-Price,Delivery Order/Task Order,FY23,Q2,FY23,Q3,,334210 - Telephone Apparatus Manufacturing,7G20 - IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2023-06:row208
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0002,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0002,lrae_navwar_2023-06,"Procurement of ADNS systems, equipment, and spares",,TBD,Delivery Order/Task Order,,,,,,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row209
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0108,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0108,lrae_navwar_2023-06,repair out of warranty ATIP servers and TIFs,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q2,FY23,Q3,48,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,D - IT AND TELECOM - INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS,"San Diego, CA",ev:lrae_navwar_2023-06:row221
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0113,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0113,lrae_navwar_2023-06,"FY 2023 OMN task order for services comprising program management, engineering, industrial, logistics, and information assurance, along with the necessary provisional items, travel, shipping, and Grooms to provide complete In-Service Engineering Agent (ISEA) support for ESRP.",,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q2,FY23,Q4,48,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2023-06:row222
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0114,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0114,lrae_navwar_2023-06,Requirements to maintaining uninterrupted Direct Read Out of environmental data at select United States Navy ESRP Ashore sites affected by the Advanced Wireless Services 3 (AWS-3) auction and sale of the 1695-1710 MHz radio frequency band; follow-on to level-of-effort under task order 31.,,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q3,FY23,Q4,48,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2023-06:row223
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0115,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0115,lrae_navwar_2023-06,"The SMQ-XX/Afloat System Modernization Task Order is a comprehensive initiative aimed at modernizing the SMQ-11 E/F system. The primary objective of this effort is to replace outdated internal components with commercially available ones, thereby increasing the system's efficiency and ensuring its compliance with the C4I lethality requirements of the Warfighter and Fleet.",,Cost-Reimbursement,Delivery Order/Task Order,FY23,Q3,FY23,Q4,48,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row224
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0173,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0173,lrae_navwar_2023-06,"All SATCOM MAC for SATCOM programs (NMT, GBS, ESRP, Big Sky, CBSP, NSLC-A and STtNG). Scope to include unique, military-related SATCOM procurements, engineering services for studies, re-spins, obsolescence research, for example.",,TBD,Single-Award Indefinite-Delivery,,,FY24,Q2,60,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row374
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0191,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0191,lrae_navwar_2023-06,Naval Senior Leadership Communications - Aircraft Follow On System.,,Fixed-Price,"""C"" Type Contract",FY23,Q4,FY24,Q4,60,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row375
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0255,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0255,lrae_navwar_2023-06,STtNG Inc 3 Production Contract,,Fixed-Price,"""C"" Type Contract",,,FY25,Q4,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5985 - ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","San Diego, CA",ev:lrae_navwar_2023-06:row376
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0259,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0259,lrae_navwar_2023-06,Add cost tables for the TIF-TD to contract,,Fixed-Price,Delivery Order/Task Order,FY23,Q2,FY23,Q4,48,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7 - IT AND TELECOM - INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS,"San Diego, CA",ev:lrae_navwar_2023-06:row377
