id,need_id,observation_type,as_stated,amount_low_usd,amount_high_usd,fiscal_year,period,evidence_id
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0029,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0029,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row178
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0016,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0016,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row179
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0016,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0016,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row180
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0031,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0031,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row181
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0032,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0032,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row182
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0069,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0069,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row183
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0059,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0059,procurement_estimate,$7.5M - $50M,7500000,50000000,FY23,Q4,ev:lrae_navwar_2023-06:row184
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0033,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0033,procurement_estimate,$100M - $250M,100000000,250000000,FY24,Q4,ev:lrae_navwar_2023-06:row187
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0010,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0010,procurement_estimate,$100M - $250M,100000000,250000000,FY24,Q3,ev:lrae_navwar_2023-06:row189
fund:lrae_navwar_2023-06:N00039-26-RFPREQ-PMW/A-170-0001,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMW/A-170-0001,procurement_estimate,$50M - $100M,50000000,100000000,,,ev:lrae_navwar_2023-06:row191
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0133,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0133,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row192
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0230,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0230,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row193
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0185,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0185,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row194
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0163,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0163,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row195
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0180,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0180,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row196
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0181,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0181,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row197
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0182,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0182,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row198
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0005,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0005,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row199
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0006,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0006,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row200
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0007,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0007,procurement_estimate,< $2M,0,2000000,FY24,Q3,ev:lrae_navwar_2023-06:row201
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0008,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0008,procurement_estimate,< $2M,0,2000000,FY24,Q3,ev:lrae_navwar_2023-06:row202
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0009,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0009,procurement_estimate,< $2M,0,2000000,FY25,Q1,ev:lrae_navwar_2023-06:row203
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0010,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0010,procurement_estimate,< $2M,0,2000000,FY24,Q4,ev:lrae_navwar_2023-06:row204
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0014,procurement_estimate,No Range Specified,,,FY24,Q3,ev:lrae_navwar_2023-06:row205
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0015,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0015,procurement_estimate,No Range Specified,,,FY24,Q2,ev:lrae_navwar_2023-06:row206
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0220,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0220,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q1,ev:lrae_navwar_2023-06:row207
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0001,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0001,procurement_estimate,$7.5M - $50M,7500000,50000000,FY23,Q3,ev:lrae_navwar_2023-06:row208
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0002,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-160-0002,procurement_estimate,No Range Specified,,,,,ev:lrae_navwar_2023-06:row209
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0108,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0108,procurement_estimate,< $2M,0,2000000,FY23,Q3,ev:lrae_navwar_2023-06:row221
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0113,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0113,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row222
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0114,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0114,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row223
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0115,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0115,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row224
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0173,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0173,procurement_estimate,$250M - $1B,250000000,1000000000,FY24,Q2,ev:lrae_navwar_2023-06:row374
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0191,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0191,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q4,ev:lrae_navwar_2023-06:row375
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0255,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0255,procurement_estimate,$100M - $250M,100000000,250000000,FY25,Q4,ev:lrae_navwar_2023-06:row376
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0259,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0259,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row377
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0275,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0275,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row378
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0256,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0256,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row379
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0241,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0241,procurement_estimate,No Range Specified,,,FY24,Q1,ev:lrae_navwar_2023-06:row380
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0229,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0229,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row381
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0223,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0223,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row382
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0155,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0155,procurement_estimate,$100M - $250M,100000000,250000000,FY25,Q3,ev:lrae_navwar_2023-06:row383
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0174,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0174,procurement_estimate,No Range Specified,,,FY24,Q1,ev:lrae_navwar_2023-06:row384
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0021,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0021,procurement_estimate,> $1B+,1000000000,,FY25,Q1,ev:lrae_navwar_2023-06:row385
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0105,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0105,procurement_estimate,No Range Specified,,,FY23,Q3,ev:lrae_navwar_2023-06:row386
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0106,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0106,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row387
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0012,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0012,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row388
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0001,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0001,procurement_estimate,< $2M,0,2000000,,,ev:lrae_navwar_2023-06:row389
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0013,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0013,procurement_estimate,< $2M,0,2000000,,,ev:lrae_navwar_2023-06:row390
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0002,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW/A-170-0002,procurement_estimate,No Range Specified,,,FY24,Q1,ev:lrae_navwar_2023-06:row391
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0002,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0002,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q3,ev:lrae_navwar_2023-06:row392
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0003,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0003,procurement_estimate,$100M - $250M,100000000,250000000,FY24,Q4,ev:lrae_navwar_2023-06:row393
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0004,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0004,procurement_estimate,$50M - $100M,50000000,100000000,FY23,Q4,ev:lrae_navwar_2023-06:row394
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0010,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW/A-170-0010,procurement_estimate,No Range Specified,,,FY24,Q1,ev:lrae_navwar_2023-06:row395
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0014,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row396
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0069,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0069,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row400
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0063,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0063,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row401
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0056,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0056,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row403
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0052,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-120-0052,procurement_estimate,< $2M,0,2000000,FY23,Q3,ev:lrae_navwar_2023-06:row404
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0062,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0062,procurement_estimate,No Range Specified,,,FY23,Q3,ev:lrae_navwar_2023-06:row405
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0063,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0063,procurement_estimate,< $2M,0,2000000,FY23,Q3,ev:lrae_navwar_2023-06:row406
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0029,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0029,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row407
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0007,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0007,procurement_estimate,No Range Specified,,,,,ev:lrae_navwar_2023-06:row408
fund:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW/A-170-0001,need:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW/A-170-0001,procurement_estimate,$250M - $1B,250000000,1000000000,FY27,Q1,ev:lrae_navwar_2023-06:row409
fund:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW/A-170-0002,need:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW/A-170-0002,procurement_estimate,$50M - $100M,50000000,100000000,FY27,Q1,ev:lrae_navwar_2023-06:row410
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0194,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0194,procurement_estimate,No Range Specified,,,FY23,Q2,ev:lrae_navwar_2023-06:row411
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0148,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW/A-170-0148,procurement_estimate,No Range Specified,,,FY24,Q2,ev:lrae_navwar_2023-06:row412
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0014,procurement_estimate,$100M - $250M,100000000,250000000,FY23,Q3,ev:lrae_navwar_2023-06:row413
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PEO-C4I-0014,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PEO-C4I-0014,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row414
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0040,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0040,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q1,ev:lrae_navwar_2023-06:row415
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-790-0021,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-790-0021,procurement_estimate,$50M - $100M,50000000,100000000,FY24,Q4,ev:lrae_navwar_2023-06:row416
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-120-0001,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-120-0001,procurement_estimate,$100M - $250M,100000000,250000000,FY26,Q3,ev:lrae_navwar_2023-06:row417
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PEO-C4I-0001,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PEO-C4I-0001,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q2,ev:lrae_navwar_2023-06:row418
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PEO-C4I-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PEO-C4I-0014,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q3,ev:lrae_navwar_2023-06:row419
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-770-0009,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-770-0009,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q4,ev:lrae_navwar_2023-06:row420
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0002,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0002,procurement_estimate,$50M - $100M,50000000,100000000,FY24,Q3,ev:lrae_navwar_2023-06:row423
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0034,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0034,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row424
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0004,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0004,procurement_estimate,$2M - $7.5M,2000000,7500000,FY24,Q2,ev:lrae_navwar_2023-06:row425
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0024,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0024,procurement_estimate,$2M - $7.5M,2000000,7500000,FY24,Q2,ev:lrae_navwar_2023-06:row426
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-770-0008,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-770-0008,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q3,ev:lrae_navwar_2023-06:row427
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0034,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-770-0034,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q3,ev:lrae_navwar_2023-06:row428
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-790-0011,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-790-0011,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row429
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0003,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0003,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row430
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0017,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0017,procurement_estimate,$7.5M - $50M,7500000,50000000,FY23,Q4,ev:lrae_navwar_2023-06:row431
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0006,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-790-0006,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row432
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-740-0006,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-740-0006,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q3,ev:lrae_navwar_2023-06:row632
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-740-0012,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-740-0012,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row633
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0002,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-740-0002,procurement_estimate,No Range Specified,,,,,ev:lrae_navwar_2023-06:row634
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0049,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0049,procurement_estimate,$2M - $7.5M,2000000,7500000,FY23,Q4,ev:lrae_navwar_2023-06:row635
fund:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW-740-0005,need:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW-740-0005,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q2,ev:lrae_navwar_2023-06:row636
fund:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW-740-0006,need:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW-740-0006,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q4,ev:lrae_navwar_2023-06:row637
fund:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW-740-0004,need:lrae_navwar_2023-06:N00039-25-RFPREQ-PMW-740-0004,procurement_estimate,$50M - $100M,50000000,100000000,FY24,Q4,ev:lrae_navwar_2023-06:row638
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0046,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-740-0046,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row639
