# Forecast lines in lrae_navwar_2025-06 with a solicitation window through FY26: 103 of 148 included lines
# Read on 2026-09-21 against saved SAM.gov searches (retrieved 2026-09-17 to 2026-09-20), FPDS lookups (retrieved 2026-09-16 to 2026-09-20) and attribution examples. Nothing here is fetched live: a negative reading says the saved records hold nothing, not that nothing happened.
# Notice column: explicit joins first (PID or incumbent contract number in the notice text), then candidates marked ~: a shared program name or code that few lines carry, with the notice's own office compared to the line's. A candidate is a reviewer's call. 'related:' marks a notice for a different lot, family or generation of the same program: context, never this line's solicitation.
# Incumbent column: USAspending last-modified date; a * means only the first FPDS page was saved and later actions may exist.

| PID | title | office | sol | award | value as stated | notice | incumbent last action | award found | reading |
| N00039-25-RFPREQ-PMA/PMW-101-0103 | N0003924FXXXX_FR_MIS_V2 | pmw:101 | FY25 Q3 | FY26 Q1 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0133 | N0003925FXXXX_Certificate of Compliance (CoC) fo | pmw:101 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0158 | N0003925FXXX_German_PAI_Repair_SN0926_(L3) | pmw:101 | FY25 Q3 | FY25 Q4 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0039 | N00039D4001_Derisking_SW | pmw:101 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-120-0013 | LBS-G_N0003921D6001_TO 25 RDTE (Garmin GPS & Can | pmw:120 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW-120-0001 | PMW 120 Professional Support Services (C) | pmw:120 | FY25 Q4 | FY26 Q2 | $100M - $250M | - | 2026-06-09 | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2026-06-09 |
| N00039-25-RFPREQ-PMW-130-0026 | N0003923D9000 Ordering Period Extension | pmw:130 | FY25 Q4 | FY26 Q2 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-130-0015 | 90-Meter Licenses - Follow-On Contract | pmw:130 | FY26 Q1 | FY26 Q2 | $2M - $7.5M | - | 2025-02-04* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2025-02-04 |
| N00039-25-RFPREQ-PMW-150-0102 | Link 16 01 DRS TTNT Additional Units Mod #N00039 | pmw:150 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0027 | Link 16 02 MOS Mod BPA Call 8 (C) | pmw:150 | FY25 Q3 | FY25 Q4 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0128 | Link 16 05 DLS MOS Mod BPA Spares CLIN Mod #N000 | pmw:150 | FY25 Q3 | FY25 Q4 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0129 | Link 16 06 DRS MOS Mod BPA Spares CLIN Mod #N000 | pmw:150 | FY25 Q3 | FY25 Q4 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0120 | NILE Link 22 Training Base Contract Ceiling Real | pmw:150 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0119 | NILE Link 22 Training Task Order 4B | pmw:150 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-150-0133 | Link 16 99 MOS Mod BPA TTNT Scope DLS Mod #N0003 | pmw:150 | FY25 Q4 | FY26 Q1 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0134 | Link 16 99 MOS Mod BPA TTNT Scope DRS Mod #N0003 | pmw:150 | FY25 Q4 | FY26 Q1 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-150-0050 | NILE ISS 5 Task Order 5 | pmw:150 | FY25 Q4 | FY26 Q1 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-150-0002 | Seaport PSS Base Contract Follow On (C) | pmw:150 | FY25 Q4 | FY26 Q1 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW-150-0157 | NILE LLC 7M Production Follow-on | pmw:150 | FY26 Q1 | FY26 Q4 | $50M - $100M | Justification 2022-11-10 (N0003916D0075); Presolicitation 2020-09-28 (N00039-16-D-0075) | 2020-06-24* | - | solicited: presolicitation posted 2022-11-10 |
| N00039-25-RFPREQ-PMW-150-0072 | PSS Re-Compete/21F3016 Follow-On (C) | pmw:150 | FY26 Q1 | FY26 Q4 | No Range Specified | - | 2026-04-29 | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2026-04-29 |
| N00039-25-RFPREQ-PMW-150-0067 | NILE In-Service Support (ISS) 6 Contract (C) | pmw:150 | FY26 Q2 | FY27 Q2 | $7.5M - $50M | - | 2025-10-29* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; incumbent last acted 2025-10-29 |
| N00039-24-RFPREQ-PMW-160-0068 | PSS Recompete/20F3016 Follow-On (C) | pmw:160 | FY25 Q2 | FY25 Q4 | $50M - $100M | - | 2026-04-14 | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2026-04-14 |
| N00039-25-RFPREQ-PMW-160-0068 | CANES MAC RFP 9114A CTU 3 Kits (C) | pmw:160 | FY25 Q3 | FY25 Q3 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-23-RFPREQ-PMW-160-0108 | ADNS MAC N0003925R9510 (New Award FY25) (C) | pmw:160 | FY25 Q4 | FY26 Q1 | $250M - $1B | - | - | N0003926D9501 2026-05-22; N0003926D9502 2026-05-21; N0003926D9503 2026-05-21 | awarded: 5 action(s) under the line's solicitation, first signed 2026-05-21 |
| N00039-24-RFPREQ-PMW-160-0002 | PMW 160 Engineering Support Services (ESS) Follo | pmw:160 | FY25 Q4 | FY26 Q3 | $250M - $1B | - | 2023-06-27* | N0003922F3000 (EX01, reviewed attribution) | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2023-06-27 |
| N00039-22-RFPREQ-PMW/A-170-0021 | NMT-X - Follow-on | pmw:170 | FY24 Q1 | FY26 Q1 | > $1B+ | - | 2025-09-19* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; incumbent last acted 2025-09-19 |
| N00039-24-RFPREQ-PMW/A-170-0559 | WAMS OTB - TO#1 | pmw:170 | FY25 Q1 | FY25 Q3 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-22-RFPREQ-PMW/A-170-0002 | CBSP Engineering Services Sustainment | pmw:170 | FY25 Q2 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0334 | CBSP TO 01 Generic Eng. Svcs. | pmw:170 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW/A-170-0543 | DMR - Antenna Spares Mod (Ramp Encoder Kit & Nam | pmw:170 | FY25 Q2 | FY25 Q4 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0204 | ESRP TO40 (24F2207) Mod - FY25 TeraScan Annual L | pmw:170 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW/A-170-0170 | UHF Antenna Alternative (CSO) (C) | pmw:170 | FY25 Q2 | FY26 Q2 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW/A-170-0014 | WAMS - TO # 6 EDM Buy | pmw:170 | FY25 Q2 | FY25 Q3 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW/A-170-0302 | WAMS TO Technical Studies Follow-On | pmw:170 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW/A-170-0004 | BRSE Long-Term Production Contract (C) | pmw:170 | FY25 Q3 | FY26 Q2 | $250M - $1B | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW/A-170-0015 | CDLS Sustainment Follow-On | pmw:170 | FY25 Q3 | FY25 Q4 | $7.5M - $50M | - | 2024-01-22* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; incumbent last acted 2024-01-22 |
| N00039-25-RFPREQ-PMW/A-170-0346 | DMR - Ancillary Definitization Mod for OP 3 - 5  | pmw:170 | FY25 Q3 | FY25 Q4 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0343 | DMR OE-570 - Frontgrade Antenna Evaluation - 18D | pmw:170 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW/A-170-0202 | ESRP - New TO - OPN Sustainment (Hardware) | pmw:170 | FY25 Q3 | FY25 Q4 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW/A-170-0413 | ESRP Base Contract Ceiling Increase | pmw:170 | FY25 Q3 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0258 | GPNTS - Software Ceiling Increase | pmw:170 | FY25 Q3 | FY25 Q4 | $50M - $100M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-23-RFPREQ-PMW/A-170-0155 | MAT Production and Sustainment | pmw:170 | FY25 Q3 | FY26 Q4 | $250M - $1B | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0342 | NASA SEWP Crypto Order | pmw:170 | FY25 Q3 | FY25 Q4 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW/A-170-0013 | STtNG Phase III - Production (Base IDIQ) | pmw:170 | FY25 Q3 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0239 | PMW/A 170 Integrated Logistics Support Services  | pmw:170 | FY25 Q4 | FY26 Q2 | $100M - $250M | - | 2023-01-31* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2023-01-31 |
| N00039-25-RFPREQ-PMW/A-170-0276 | NTCDL - Stand Alone Bridge Contract | pmw:170 | FY26 Q1 | FY26 Q3 | $7.5M - $50M | ~Presolicitation 2026-05-22 (N0003926RB002) | - | - | candidate: presolicitation posted 2026-05-22 (shared program tokens ntcdl; same office); a reviewer decides whether it is this line |
| N00039-25-RFPREQ-PMW/A-170-0240 | PMW/A 170 Cybersecurity, Engineering, and Techni | pmw:170 | FY26 Q1 | FY26 Q4 | $50M - $100M | - | 2023-01-31* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2023-01-31 |
| N00039-23-RFPREQ-PMW/A-170-0173 | All SATCOM Multi Award Contract (C) | pmw:170 | FY26 Q2 | FY27 Q2 | $250M - $1B | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW/A-170-0001 | NTCDL – Follow-On Production and ESS Contract (C | pmw:170 | FY26 Q2 | FY27 Q2 | $250M - $1B | Award Notice 2024-11-05 (N00039-23-R-2005); ~Presolicitation 2026-05-22 (N0003926RB002) | 2026-05-20 | - | candidate: presolicitation posted 2026-05-22 (shared program tokens ntcdl; same office); a reviewer decides whether it is this line; meanwhile incumbent action noticed: award notice posted 2024-11-05; no follow-on solici |
| N00039-25-RFPREQ-PMW/A-170-0277 | PRP FY27 Follow-on Contract | pmw:170 | FY26 Q2 | FY27 Q2 | > $1B+ | - | 2025-08-09* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; incumbent last acted 2025-08-09 |
| N00039-24-RFPREQ-PMW-740-0053 | RSNF C4ISR Training Services III (C) | pmw:740 | FY25 Q1 | FY25 Q4 | $7.5M - $50M | ~Presolicitation 2025-04-30 (N0003925R4014) | 2023-09-21* | - | candidate: presolicitation posted 2025-04-30 (shared program tokens rsnf; notice office not read (detail not saved)); a reviewer decides whether it is this line |
| N00039-24-RFPREQ-PMW-740-0059 | Romania MDA SCOMAR Upgrade | pmw:740 | FY25 Q1 | FY26 Q1 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW-740-0007 | C4I Integrated International Solutions (CIIS) -  | pmw:740 | FY25 Q2 | FY25 Q4 | $50M - $100M | - | 2025-06-04* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; incumbent last acted 2025-06-04 |
| N00039-25-RFPREQ-PMW-740-0028 | Bahamas MSS 8 (C) | pmw:740 | FY25 Q3 | FY25 Q4 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-740-0078 | Bahrain Coastal Surveillance System Upgrade and  | pmw:740 | FY25 Q3 | FY25 Q4 | No Range Specified | - | 2025-06-04* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2025-06-04 |
| N00039-24-RFPREQ-PMW-740-0055 | COMSEC Custodian / IM Support Services (Seaport  | pmw:740 | FY25 Q3 | FY26 Q2 | $50M - $100M | - | 2019-07-02* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2019-07-02 |
| N00039-23-RFPREQ-PMW-740-0070 | EGYPTIAN Navy AINTS (EG-P-LGQ, A2) (C) | pmw:740 | FY25 Q3 | FY26 Q2 | $100M - $250M | ~Presolicitation 2026-07-31 (N0003926RE014); ~Solicitation 2026-09-17 (N0003926RE014) | - | - | candidate: solicitation posted 2026-09-17 (shared program tokens aints; same office); a reviewer decides whether it is this line |
| N00039-25-RFPREQ-PMW-740-0029 | Philippines Link-16 Phase 1 - CIIS Task Order (C | pmw:740 | FY25 Q3 | FY26 Q1 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-740-0052 | RSNF inKSA Support Services (C4ISR) Upgrade and  | pmw:740 | FY25 Q3 | FY26 Q1 | No Range Specified | ~Presolicitation 2025-04-30 (N0003925R4014) | 2023-07-07* | N0003920F3015 (EX08, reviewed attribution) | candidate: presolicitation posted 2025-04-30 (shared program tokens rsnf; notice office not read (detail not saved)); a reviewer decides whether it is this line |
| N00039-24-RFPREQ-PMW-740-0005 | TECRO Integration and Installation Support (C) | pmw:740 | FY25 Q4 | FY26 Q2 | $50M - $100M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-750-0010 | CVN 74 ZI UCA Definitization | pmw:750 | FY25 Q1 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW-750-0002 | CVN 75 RCOH SSES CSIF and Shipboard Integration  | pmw:750 | FY25 Q1 | FY25 Q3 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-750-0032 | CVN 81 RCS/DS/SSES (C) | pmw:750 | FY25 Q1 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-750-0016 | CVN 74 IC De-obligation | pmw:750 | FY25 Q2 | FY25 Q3 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMW-750-0036 | CVN 75 RCOH Interior Communications (IC) Install | pmw:750 | FY25 Q2 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-750-0001 | CVN 75 RCOH RCS CSIF and Shipboard Integration ( | pmw:750 | FY25 Q2 | FY25 Q3 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-750-0003 | CVN 75 RCOH DS Shipboard Integration (C) | pmw:750 | FY25 Q3 | FY26 Q1 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-750-0037 | CVN 79 USS JOHN F KENNEDY MOD 08 | pmw:750 | FY25 Q3 | FY25 Q3 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-750-0013 | LHA 10 RCS/DS/SSES (C) | pmw:750 | FY25 Q3 | FY26 Q1 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-760-0068 | NSC2I FFG 64-65 Procurement & C-SIF AWARD. (C) | pmw:760 | FY25 Q1 | FY25 Q4 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-760-0052 | NSC2I. AS(X) Phase 1-3 AWARD (C) | pmw:760 | FY25 Q1 | FY25 Q4 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-760-0010 | NSC2I T-ATS 6 (Ph 5) and T-ATS 7 (Ph 4-5) (C) | pmw:760 | FY25 Q2 | FY26 Q1 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-760-0014 | NSC2I EMS 2 & 3, Phases 2-5 Award (C) | pmw:760 | FY25 Q3 | FY26 Q4 | $2M - $7.5M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-760-0055 | PMW 760 Next Generation C4I Integration Requirem | pmw:760 | FY26 Q1 | FY26 Q3 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-770-0009 | Engineering Systems, Security, and MBSE Services | pmw:770 | FY25 Q2 | FY25 Q4 | $50M - $100M | - | 2023-06-27* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2023-06-27 |
| N00039-24-RFPREQ-PMW-770-0044 | OE-538B Re-compete Contract (C) | pmw:770 | FY25 Q2 | FY26 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
