id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0055,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0055,lrae_navwar_2025-06,Communications Security (COMSEC)/Inventory Manager (IM) Support Services,Small Business Set-Aside,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q3,FY26,Q2,60,541330 - Engineering Services,R426 - SUPPORT- PROFESSIONAL: COMMUNICATIONS,"San Diego, CA",ev:lrae_navwar_2025-06:row122
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0007,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0007,lrae_navwar_2025-06,,Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q2,FY25,Q4,60,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2025-06:row123
req:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0003,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0003,lrae_navwar_2025-06,,Full and Open Competition,TBD,TBD,TBD,TBD,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row126
req:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-160-0108,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-160-0108,lrae_navwar_2025-06,N0003925R9510 – Automated Digital Network System (ADNS) Multiple Award Contract (MAC),Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q4,FY26,Q1,96,334210 - Telephone Apparatus Manufacturing,7G20 - IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2025-06:row127
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0002,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0002,lrae_navwar_2025-06,"This follow-on contract provides full spectrum architecture, analysis, interoperability assessments, engineering, Configuration Management (CM), technical management services, Science and Technology, Verification, Validation, and Certification, Software Engineering Support, Cost Engineering and Economic Analysis, Reliability and Systems Safety Assurance Engineering and Analysis, Integration and Interoperability (I&I), Future Capabilities and new construction ships for NAVWAR's PMW 160.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q4,FY26,Q3,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2025-06:row128
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0015,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0015,lrae_navwar_2025-06,Sole Source Contract for Sustainment Services for AN/USQ-167(V) Common Data Link System (CDLS),Sole Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q3,FY25,Q4,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2025-06:row133
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0067,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0067,lrae_navwar_2025-06,"PMW 150 NILE In-Service Support 6 contract for Link 22 support, maintenance and upgrade of Link 22 product.",TBD,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY26,Q2,FY27,Q2,60,541512 - Computer Systems Design Services,DA01 - IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),"San Diego, CA",ev:lrae_navwar_2025-06:row139
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0002,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0002,lrae_navwar_2025-06,,TBD,Cost-Reimbursement,TBD,FY25,Q4,FY26,Q1,TBD,TBD - TBD,R706 - SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,"San Diego, CA",ev:lrae_navwar_2025-06:row140
req:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0005,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0005,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY28,Q1,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2025-06:row141
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0068,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0068,lrae_navwar_2025-06,"Provides Professional Support Services for PMW 160, assisting in the prep and maintenance of program planning, production support, acquisition and guidance documents, contract documentation and data management, business management and admin support.  Follow-on to SeaPort-NxG Task Order: N0003920F3016.  Incumbent: Alpha Omega Group.",Service-Disabled Veteran-Owned Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q2,FY25,Q4,12,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2025-06:row142
req:lrae_navwar_2025-06:N00039-24-RFPREQ-C4IEXEC-0002,need:lrae_navwar_2025-06:N00039-24-RFPREQ-C4IEXEC-0002,lrae_navwar_2025-06,Common - Services Enterprise Application (C-SEA),TBD,Cost-Reimbursement,"""C"" Type Contract",FY26,Q2,FY26,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row143
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0012,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0012,lrae_navwar_2025-06,,Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY24,Q4,FY25,Q4,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5826 - RADIO NAVIGATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2025-06:row145
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0413,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0413,lrae_navwar_2025-06,,Sole Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q3,FY25,Q4,120,541330 - Engineering Services,L049 - TECHNICAL REPRESENTATIVE- MAINTENANCE AND REPAIR SHOP EQUIPMENT,"San Diego, CA",ev:lrae_navwar_2025-06:row147
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0059,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0059,lrae_navwar_2025-06,,TBD,Fixed-Price,"""C"" Type Contract",FY25,Q1,FY26,Q1,36,541512 - Computer Systems Design Services,"7G22 - IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)","San Diego, CA",ev:lrae_navwar_2025-06:row148
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0061,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0061,lrae_navwar_2025-06,,Sole Source,TBD,TBD,TBD,TBD,FY25,Q4,TBD,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2025-06:row149
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0052,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0052,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q4,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row153
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0055,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0055,lrae_navwar_2025-06,PMW 760 Next Generation C4I Integration Support Services,Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY26,Q1,FY26,Q3,66,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2025-06:row156
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0115,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0115,lrae_navwar_2025-06,,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2025-06:row159
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-150-0157,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-150-0157,lrae_navwar_2025-06,Production and delivery of LLC 7M devices,Sole Source,Fixed-Price,Single-Award Indefinite-Delivery,FY26,Q1,FY26,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row160
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0078,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0078,lrae_navwar_2025-06,,Sole Source,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q3,FY25,Q4,19,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2025-06:row161
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0267,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0267,lrae_navwar_2025-06,N0003922D4001_GE_TATS,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2025-06:row162
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0044,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0044,lrae_navwar_2025-06,,Full and Open Competition,Fixed-Price,"""C"" Type Contract",FY25,Q2,FY26,Q4,73,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5810 - COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2025-06:row163
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0068,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0068,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q4,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row165
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0543,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0543,lrae_navwar_2025-06,,Sole Source,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q2,FY25,Q4,TBD,334290 - Other Communications Equipment Manufacturing,"5985 - ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row166
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0559,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0559,lrae_navwar_2025-06,,Sole Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q1,FY25,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5895 - MISCELLANEOUS COMMUNICATION EQUIPMENT,"San Diego, CA",ev:lrae_navwar_2025-06:row167
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0030,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0030,lrae_navwar_2025-06,,Sole Source,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5985 - ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row168
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0124,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0124,lrae_navwar_2025-06,HW/SW LICENSES RENEWAL,Small Business Set-Aside,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q3,FY25,Q3,12,541519 - Other Computer Related Services,7A21 - IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2025-06:row169
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0032,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0032,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q4,59,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row170
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0157,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0157,lrae_navwar_2025-06,Pure Storage HW,TBD,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q3,FY25,Q3,12,541519 - Other Computer Related Services,7A21 - IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2025-06:row171
